Question Number,Question,Answer 1(correct one),Answer 2,Answer 3,Answer 4,image_path
120,Wie ist ein Vorrangfahrzeug gekennzeichnet?,Mit einem grünen Ball oder einem grünen Licht,Mit einem weißen Ball oder mit einem weißen Licht,Mit einem roten Ball oder einem roten Licht,Mit einem schwarzen Ball oder einem weißen Licht,
121,Sie sehen ein Fahrzeug mit einem grünen Ball. Wie verhalten Sie sich?,"Das ist ein Vorrangfahrzeug, ich weiche aus","Das ist ein Vorrangfahrzeug, das allen anderen Fahrzeugen ausweichen muss, ich halte Kurs","Das ist ein Berufsfischer, ich halte 50m Mindestabstand ein","Diese Kennzeichnung hat für die Sportschifffahrt keine Bedeutung, ich halte Kurs",
122,Wie ist ein Berufsfischer gekennzeichnet?,Mit einem weißen Ball,Mit einem grünen Ball,Mit einem roten Ball,Mit einem schwarzen Ball,
123,Sie sehen ein Fahrzeug mit einem Fischer an Bord. Wie verhalten Sie sich?,"Wenn das Fahrzeug einen weißen Ball führt, weiche ich aus und halte einen Mindestabstand von 50 Meter ein",Ich halte einen Mindestabstand von 300 Meter ein,"Ich weiche auf jeden Fall aus, Fischern ist immer auszuweichen","Ich halte auf jeden Fall Kurs, damit mir der Fischer ausweichen kann",
124,Sie hören ein Schallsignal 1 langer Ton. Wie verhalten Sie sich?,"Achtung, allgemeines Warnsignal",Ich ändere meinen Kurs nach Steuerbord,Ich ändere meinen Kurs nach Backbord,Das ist ein Seenotsignal,
125,Sie hören ein Schallsignal 1 kurzer Ton. Was bedeutet das?,Ich ändere meinen Kurs nach Steuerbord,Ich ändere meinen Kurs nach Backbord,Meine Maschine läuft rückwärts,"Achtung, allgemeines Warnsignal",
126,Sie hören ein Schallsignal 2 kurze Töne. Was bedeutet das?,Ich ändere meinen Kurs nach Backbord,Ich ändere meinen Kurs nach Steuerbord,Meine Maschine läuft rückwärts,"Achtung, allgemeines Warnsignal",
127,Sie hören ein Schallsignal 3 kurze Töne. Was bedeutet das?,Meine Maschine läuft rückwärts,Ich ändere meinen Kurs nach Steuerbord,Ich ändere meinen Kurs nach Backbord,"Achtung, allgemeines Warnsignal",
128,Sie hören das Schallsignal 1 langer Ton. Was bedeutet das?,"Achtung, allgemeines Warnsignal",Ich ändere meinen Kurs nach Steuerbord,Ich ändere meinen Kurs nach Backbord,Das ist ein Seenotsignal,
129,Sie sehen das abgebildete Verkehrszeichen. Was bedeutet das?,Fahrverbot für Segelfahrzeuge,Segelfahrzeuge dürfen hier nicht anlegen. Bis zum nächsten Anlegesteg weitersegeln,Segelfahrzeuge dürfen hier nicht mit nur einem Segel fahren,Fahrverbot für alle Sportfahrzeuge,A/image_129.png
130,Sie sehen das abgebildete Verkehrszeichen. Was bedeutet das?,Verbot der Durchfahrt,"Achtung, das ist eine Warnung vor einer allgemeinen Gefahr",Das ist eine Aufhebung von einem zuvor gezeigten Verbotszeichen,Dieses Verkehrsschild hat für die Sportschifffahrt keine Bedeutung,A/image_130.png
131,Sie sehen das abgebildete Verkehrszeichen. Was bedeutet das?,Am Ufer anlegen verboten,"Festmacherpoller dürfen nicht verwendet werden, Das Schiff muss anders am Ufer festgemacht werden",Beim Anlegen am Ufer dürfen keine anderen Hilfsmittel als Festmacherpoller verwendet werden,Weder Ankern noch Festmachen ist erlaubt,A/image_131.png
132,Sie sehen das abgebildete Verkehrszeichen. Was bedeutet das?,Ankern verboten,Festmachen verboten,Das Mitführen von Ankern ist in diesem Bereich verboten,Dieses Verkehrsschild hat für die Sportschifffahrt keine Bedeutung,A/image_132.png
133,Sie sehen das abgebildete Verkehrszeichen. Was bedeutet das?,Fahrverbot für alle Sportfahrzeuge,Sportfahrzeuge dürfen hier nicht festmachen und müssen zum nächsten Anlegesteg weiterfahren,"Fahrverbot für alle Fahrzeuge, ausgenommen Sportfahrzeuge","Es  ist nicht gestattet, Sport auf dem Boot auszuüben",A/image_133.png
134,Was besagt unter anderem die allgemeine Sorgfaltspflicht für den Schiffsführer?,Der Schiffsführer hat alle Vorsichtsmaßnahmen zu treffen um die Gefährdung von Menschen und die Beschädigung von Sachen zu vermeiden,Der Schiffsführer hat sein Schiff sorgfältig sauber zu halten,Der Schiffsführer hat keine Verantwortung gegenüber Menschen außerhalb seines Bootes,Die allgemeine Sorgfaltspflicht gilt nicht für Sportboote,
135,Wer ist für die Ordnung an Bord verantwortlich?,Der Schiffsführer hat für die Aufrechterhaltung der Ordnung auf seinem Fahrzeug zu sorgen,Jedes einzelne Crewmitglied ist für die Aufrechterhaltung an Bord verantwortlich,Die Aufrechterhaltung der Ordnung an Bord ist nicht geregelt,Die Aufrechterhaltung an Bord gilt nicht für Sportfahrzeuge,
136,Wer ist für die Einhaltung gesetzlicher Bestimmungen an Bord verantwortlich?,Der Schiffsführer,Jedes einzelne Crewmitglied,Polizei und andere Aufsichtsorgane,Organe der Wasserschutzaufsicht,
137,"Welche Verpflichtung hat der Schiffsführer, wenn er in einem ihm unbekannten Revier segeln will?",Der Schiffsführer hat sich über die geltenden lokalen gesetzlichen Bestimmungen zu informieren,Der Schiffsführer hat sich die Nummer seines Liegeplatzes im Logbuch zu notieren,Der Schiffsführer hat keine besonderen Verpflichtungen in fremden Gewässern. Das Schifffahrtsgesetz gilt auf allem österreichischen Gewässern,Lokale Bestimmungen haben für Sportboote keine Wirkung,
138,Welche Verpflichtung hat ein Schiffsführer in Hinblick auf die Reinhaltung von Gewässern?,Der Schiffsführer hat alle Maßnahmen zu treffen um eine Verunreinigung von Gewässern zu vermeiden,"Der Schiffsführer darf keine Flüssigkeiten ins Wasser einbringen, Feste Gegenstände wie Papier und Flaschen sind erlaubt",Die Reinhaltung von Gewässern ist im Schifffahrtsgesetz nicht geregelt,"Keine Besonderen, für die Reinhaltung der Gewässer ist die Wasserschutzaufsicht zuständig",
139,Wie ist ein Segelboot in Österreich bei Nacht beleuchtet?,"Seitenlicher rot an Backbord, grün an Steuerbord, weißes Hecklicht",In jedem Fall nur ein weißes Rundumlicht,In jedem Fall ein weißes Rundumlicht und bei Annäherung eines anderen Fahrzeug ein weiteres weißes Licht zeigen,"Seitenlicher rot an Backbord, grün an Steuerbord, weißes Hecklicht, zusätzlich ein weißes Topplicht",
140,Wie muss ein vor Anker liegendes Boot in Österreich beleuchtet sein?,Mit einem weißen Rundumlicht,"Seitenlicher rot an Backbord, grün an Steuerbord, weißes Hecklicht","Seitenlicher rot an Backbord, grün an Steuerbord, weißes Hecklicht, zusätzlich ein weißes Topplicht",Vor Anker darf man keine Lichter führen,
141,Wie ist ein Maschinenfahrzeug in Österreich bei Nacht beleuchtet?,"Seitenlicher rot an Backbord, grün an Steuerbord, weißes Hecklicht, zusätzlich ein weißes Topplicht",Mit einem weißen Rundumlicht,"Seitenlicher rot an Backbord, grün an Steuerbord, weißes Hecklicht",In jedem Fall ein weißes Rundumlicht und bei Annäherung eines anderen Fahrzeug ein weiteres weißes Licht zeigen,
142,Sie sehen in der Nacht die abgebildeten Lichter. Was kann das sein?,Ein Maschinenfahrzeug,Ein Segelfahrzeug,Ein Berufsfischer,Ein Vorrangfahrzeug,A/image_142.png
143,Sie sehen in der Nacht die abgebildeten Lichter. Was kann das sein?,Ein Maschinenfahrzeug,Ein Segelfahrzeug,Ein Vorrangfahrzeug,Eine Schnellfähre,A/image_143.png
144,Sie wollen mit ihrem Segelboot in Italien fahren. Was beachten Sie in Hinblick auf die Flaggenführung?,"Eigene Nationalflagge an einem Flaggstock am Heck, Gastlandflagge unter der Steuerbordsaling","Eigene Nationalflagge unter der Backbordsaling, Gastlandflagge unter der Steuerbordsaling","Eigene Nationalflagge an einem Flaggstock am Heck, Gastlandflagge unter der Backbordsaling","Gastlandflagge unter der Steuerbordsaling, keine eigene Nationalflagge",
145,Wo wird die Gastlandflagge gesetzt?,Unter der Steuerbordsaling,Unter der Backbordsaling,An einem Flaggstock am Heck,Im Masttopp,
146,Was ist die Gastlandflagge?,"Die Flagge des Landes, in dem ich zu Gast bin","Die Flagge meines Landes, des Landes das „zu Gast“ ist","Eine spezielle Flagge aus dem Flaggenalphabet, die anzeigt, dass ich zu Gast bin (Flagge „Q“)",Es gibt keine Gastlandflagge,
147,Wo wird die eigene Nationalflagge gesetzt?,An einem Flaggstock am Heck,Unter der Steuerbordsaling,Unter der Backbordsaling,Im Masttoppp,
148,Welches Verhalten gilt im Sinne der Jachtgebräuche als unseemännisch?,"Alle Kommandos so laut wie möglich geben, vor allem in Häfen und Badebuchten",Das Führen der eigenen Nationalflagge an einem Flaggstock am Heck,Das Führen der Gastlandflagge unter der Steuerbordsaling,Das Führen eines Jachtclubstanders im Masttopp,
149,Zu welchen Fahrzeuge wird in Österreich ein Windsurfbrett zugeordnet?,Den Schwimmkörpern,Den Segelfahrzeugen,Dem schwimmenden Gerät,Den Kleinfahrzeugen,
150,Wer muss bei einer Begegnung Windsurfbrett und Segelboot ausweichen?,"Das Windsurfbrett, da diesen als Schwimmkörpern zugeordnet werden","Das Segelboot, wenn es mit Wind von Backbord segelt","Das Surfbrett, wenn es mit Wind von Steuerbord segelt",Beide Fahrzeuge müssen nach steuerbord ausweichen,
151,Kann der Schiffsführer seine Verantwortung für Schiff und Mannschaft auf ein anderes Crewmitglied übertragen?,"Nein, die Verantwortung des Schiffsführers kann nicht übertragen werden","Ja, der Schiffsführer kann Teile seiner Verantwortung an einzelne Crewmitglieder übertragen","Ja, der Schiffsführer kann ein anderes Crewmitglied bestimmen, die gesamte Verantwortung zu übernehmen",Schiffsführer auf Binnengewässern tragen keine besondere Verantwortung,
152,Wer ist für die Sicherheit an Bord verantwortlich?,Der Schiffsführer,Jedes einzelne Crewmitglied,"Das Crewmitglied, das dafür vom Schiffsführer bestimmt wurde",Für die Sicherheit ist Polizei oder Wasserschutz verantwortlich,
153,Wer ist für die Ordnung an Bord verantwortlich?,Der Schiffsführer,Jedes einzelne Crewmitglied,"Das Crewmitglied, das dafür vom Schiffsführer bestimmt wurde",Die Ordnung an Bord ist in Österreich nicht gesetzlich geregelt.,
154,Welche besonderen Bestimmungen gelten am Bodensee?,Führerscheinpflicht für Segelfahrzeuge über 12 m² Segelfläche,Führerscheinpflicht für Segelfahrzeuge über 7 m² Segelfläche,"Führerscheinpflicht für Segelfahrzeuge mit einer Gesamtlänge von über 3,5 Meter","Keine besonderen, die Bodenseeschifffahrtsordnung ist über weite Teile identisch mit dem Schifffahrtsgesetz",
155,Welche Voraussetzungen muss der Schiffsführer eines Segelbootes in Österreich erfüllen?,"Mindestalter 12 Jahre, nautische Kenntnisse","Mindestalter 14 Jahre, nautische Kenntnisse",Segelführerschein A,Befähigungsausweis Binnen,
156,"Wie verhalten Sie sich, wenn Sie auf einem österreichischen See segeln und einem Motorboot begegnen, das einen Wasserskifahrer schleppt?",Ich halte Kurs. Maschinenfahrzeuge müssen Segelfahrzeugen ausweichen,"Ich weiche aus, da es sich um einen Schleppverband handelt","Ich weiche aus, da Sportboote Maschinenfahrzeugen ausweichen müssen",Beide Fahrzeuge weichen nach Steuerbord aus,
157,Welche der nachfolgenden Fahrregeln gelten auf Wasserstraßen?,"Fahrzeuge, die zu Berg fahren müssen Fahrzeugen, die zu Tal fahren ausweichen",Schleppende Fahrzeuge müssen Segelbooten ausweichen,Es ist die linke Seite der Wasserstraße zu befahren,"Keine besonderen, die wichtigsten Fahrregeln sind mit der Schifffahrtsordnung identisch",
158,Wie verhält sich der Schiffsführer gegenüber einem ausweichpflichtigen Fahrzeug?,"Er behält Kurs und Fahrt bei. Wenn das ausweichpflichtige Fahrzeug sein Ausweichpflicht nicht nachkommen, weicht er selbst aus","Er behält Kurs und Fahrt bei, auch wenn es damit zu einer Kollision kommt","Er weicht aus, Segler sind rücksichtsvolle Wasserbenützer","Er weicht sofort aus, da Segelfahrzeuge immer ausweichpflichtig sind Sicherheit",
159,Welchen Sinn hat das Beidrehen in schwerem Wetter?,Es versetzt das Schiff in eine relativ ruhige Lage,"Es hilft, das Schiff im Wind zu halten","Es erleichtert, das Schiff auf Kurs zu halten","Es ermöglicht, das Großsegel zu reffen.",
160,"Welchen Maßnahmen können Sie treffen, wenn Wind und Wellen ein Weitersegeln unmöglich machen?",Beidrehen oder mit geborgenen Segel vor dem Wind ablaufen,Das Schiff im Wind halten und auf Hilfe warten,"Wenn es ein Kielboot ist, durchkentern und auf dem durchgekenterten Boot auf Hilfe warten",Das Boot verlassen und an Land schwimmen,
161,Was bezeichnet man als „Lenzen vor Topp und Takel“?,Mit geborgenen Segel vor dem Wind ablaufen. Zur Kursstabilisierung Leinen nachschleppen,Mit allen vorhandenen Hilfsmittel eintretendes Wasser aus dem Rumpf lenzen,"Mithilfe der Takelage das Boot zum Rollen zu bringen, damit das Wasser imCockpit schneller durch die Lenzklappen abfließen kann",Den Begriff „Lenzen vor Topp und Takel“ gibt es in der Seefahrt nicht,
162,"Welche Voraussetzungen müssen erfüllt sein, um das Manöver „Lenzen vor Topp und Takel“ durchführen zu können?",Freier Seeraum nach Lee,"Eine Küste unmittelbar neben dem Boot nach Lee, damit wenig Fahrt aufgenommen wird","Ein Schutzhafen in Lee, weil nur noch in diese Richtig gefahren werden kann",Eine intakte Lenzpumpe,
163,Welche Vorteile hat das Beidrehen in schwerem Wetter?,Wenig oder sogar keine Abdrift nach Lee,Verringerung des scheinbaren Windes durch Ablaufen vor dem Wind,Es kann leichter Kurs gehalten werden,Es kann schneller ein Schutzhafen angelaufen werden,
164,"Welche Sofortmaßnahmen treffen Sie, wenn Sie mit Ihrer Jollen gekentert sind?","Überprüfen, ob die Mannschaft vollzählig und unverletzt ist","Überprüfen, ob alle Schoten losgeworfen wurden","Überprüfen, ob das Schwert noch ausgeklappt ist",Das Boot durchkentern lassen und auf dem Rumpf auf Hilfe warten,
165,Wie kann man eine gekenterte Jolle wieder aufrichten?,Mastspitze nach Luv drehen und das Schwert belasten,Mastspitze nach Luv drehen und belasten,Schoten loswerfen und nach Luv lehnen,Schoten dichtholen und Schwert belasten,
166,"Ihre Jolle ist gekentert und Sie sind nicht mehr in der Lage, sie wieder aufzurichten. Was tun Sie?",Das Boot durchkentern lassen und auf dem Rumpf Notsignale abgeben. Keinesfalls das Boot verlassen,Boot durchkentern lassen und versuchen ans Ufer zu schwimmen,Mit dem durchgekenterten Boot ans Ufer paddeln,Ein gekentertes Boot kann man immer aufrichten,
167,Wie kann man eine gekenterte Jolle wieder aufrichten?,"Mastspitze nach Luv drehen und, falls möglich die Mastspitze anheben (bei geringer Wassertiefe)",Mastspitze nach Luv drehen und belasten,Schoten loswerfen und nach Luv lehnen,Schoten dichtholen und Schwert belasten,
168,Bei welchem Manöver ist die Kentergefahr für Einrumpfboote am Größten?,Halse,Wende,Aufschießen,Beidrehen,
169,Kann ein Kielboot sinken?,"Nur, wenn eine große Menge an Wasser in den Rumpf eindringt","Nein, auf keinen Fall","Ja, dazu muss es nur kentern","Nein, ein Kielboot ist mit wasserdichten Auftriebskörpern unsinkbar gemacht worden",
170,"Welche Sofortmaßnahmen treffen Sie, wenn Ihr Kielboot sinkt?","Überprüfen, ob die Mannschaft vollzählig und unverletzt ist und versuchen, das Boot in seichtem Wasser auf Grund zu setzen",Das Boot sofort verlassen und ans Ufer schwimmen,Jeder an Bord springt sofort ins Wasser und schwimmt auf eigene Faust zum Ufer,Ein Kielboot kann nicht sinken,
171,Sie stellen in Ihrem Kielboot ein Leck fest. Was können Sie tun?,Mit Decken oder ähnlichem den Wassereinbruch verlangsamen. Mit allen verfügbaren Mitteln lenzen.,Das Boot sofort verlassen und ans Ufer schwimmen,Jeder an Bord springt sofort ins Wasser und schwimmt auf eigene Faust zum Ufer,"Nichts, ein Kielboot ist ohnehin unsinkbar",
172,Sie müssen Ihr untergehendes Schiff verlassen. Worauf achten Sie unter anderem?,"Vollzähligkeit der Mannschaft, jeder trägt eine Schwimmweste","Vollzähligkeit der Mannschaft, Schwimmwesten ablegen, damit leichter an Land geschwommen werden kann","Überprüfen, ob jeder sein Handy mit hat, damit Kontakt gehalten werden kann",Sofort ins Wasser springen und jeder schwimmt auf eigene Faust ans Ufer,
173,"Wie ändert sich der Wind an Bord eines Segelbootes auf Kurs raumer Wind, das plötzlich auf eine Untiefe festkommt?",Er wird stärker und fällt achterlicher ein,Er wird stärker und fällt vorlicher ein,Er wird schwächer und fällt achterlicher ein,Er wird schwächer und fällt vorlicher ein,
174,"Wie ändert sich der Wind an Bord eines Segelbootes auf Kurs am Wind, das plötzlich auf eine Untiefe festkommt?",Er wird schwächer und fällt achterlicher ein,Er wird stärker und fällt achterlicher ein,Er wird stärker und fällt vorlicher ein,Er wird schwächer und fällt vorlicher ein,
175,"Welche Sofortmaßnahmen treffen Sie, wenn Sie auf Kurs raumer Wind auf einer Untiefe festkommen?",Schoten los werfen und sofort Segel bergen,"Schoten dicht nehmen, damit der Bug durch den Wind drehen kann","Gewicht der Mannschaft nach vor, damit das Heck des Bootes durch den Wind drehen kann","Gewicht der Mannschaft nach achtern, damit der Bug entlastet wird",
176,"Welche Sofortmaßnahmen treffen Sie, wenn Sie auf Kurs am Wind auf einer Untiefe festkommen?","Versuchen, das Boot durch den Wind auf den anderen Bug zu drehen",Schoten los und sofort die Segel bergen,"Gewicht der Mannschaft nach vor, damit das Heck des Bootes durch den Wind drehen kann","Schoten dicht nehmen, damit der Bug durch den Wind drehen kann",
177,Warum ist das Segeln bei starkem Wind entlang einer Luvküste gefährlich?,Das Boot kann zu Küste abgetrieben werden und kommt aus eigener Kraft nicht mehr frei,Man kann nicht mehr wenden sondern nur noch halsen,"Man kann nicht mehr halsen, nur noch wenden","Es gibt keine besonderen Gefahren, die zu beachten sind",
178,Welche Sofortmaßnahmen sind sinnvoll bei einem Mastbruch?,"Versuchen, die gebrochenen Teile des Mastes an Deck zu sichern",Sofort das Boot verlassen und ans Ufer schwimmen,"Versuchen, das Durchkentern zu verhindern","Versuchen, das Boot durchkentern zu lassen und beim Boot auf Hilfe warten",
179,Welche Want steht unter besonderer Belastung?,Die luvseitige Want,Die Leeseitige Want,Die Vordere Want,Die hintere Want,
180,Welche besonderen Gefahren gehen unmittelbar nach einem Mastbruch vom gebrochen Mast aus?,Dass die noch an Wanten und Stagen hängenden Teile im Wasser die Bordwand leck schlagen,Dass der im Wasser liegende Mast das Boot kentern lassen,Das der ins Wasser gefallene Mast das Boot nach unten zieht,Das die im Wind schlagenden Wanten die Mannschaft verletzen,
181,Welche Sofortmaßnahmen treffen Sie beim Bruch des Achterstages?,"Großschot sofort dicht nehmen, Kurs am Wind anlegen","Schoten los, Kurs am Wind anlegen","Schoten los, Segel bergen","Schoten los, vor dem Wind anlegen",
182,Wie kann behelfsmäßig eine Leine des stehenden Gutes repariert werden.?,Wenn möglich mittels Klemmschrauben ein Auge im Stahldraht formen und mit einer Leine an der Pütting dicht holen,Den gesamten Draht mit einer Leine ersetzen,Den gebrochenen Draht mit einem Spleiß verbinden,Mit einem Kreuzknoten,
183,Welche Sofortmaßnahmen treffen Sie bei Person über Bord?,"Ruhe bewahren, Rettungsmittel nachwerfen, Mannschaft alarmieren, POB Manöver einleiten","Ruhe bewahren, Kurs halten, mit der Mannschaft in Ruhe das Manöver durchbesprechen",Ruhe bewahren und mit dem Handy die nächste Polizeidienststelle benachrichtigen,Ruhe bewahren und weiter segeln. Aus österreichischen Seen ist das Ufer nahe genug,
184,Was ist beim Manöver Person über Bord wichtig?,Dass Ruhe bewahrt wird.,Dass so schnell wie möglich die zuständige Polizeidienststelle benachrichtigt wird,Dass so schnell wie möglich die zuständige Wasserrettungsdienststelle benachrichtigt wird,Dass so schnell wie möglich Hilfe geholt wird,
185,"Wie können Sie eine Person, die über Bord gegangen ist wieder an Bord einer Jacht mit hohem Freibord bringen?",Wenn vorhanden kann die Person über ein Beiboot an Bord gebracht werden,Die Person einfach an Bord ziehen,Bei hohen Freibord ist es nicht möglich eine über Bord gegangene Person wieder an Bord zu bringen,"Bei hohem Seegang unbedingt über die Badeleiter am Heck, weil die Wellen durch das Schiff abgeblockt werden",
186,Wie können Sie das über Bord gehen von Personen verhindern?,Mit einem Sicherheitsgurt (sogenannter Life Belt),Mit einer Rettungsweste,Mit einem Rettungsring,"Gar nicht. Jedes Crewmitglied ist selbst verantwortlich, nicht über Bord zu gehen",
187,Was bedeutet diese Flagge?,Person über Bord,Ich benötige einen Arzt,Ich brauche dringend Hilfe,Sie begeben sich in Gefahr,A/image_187.png
188,Sie sehen die abgebildete Person. Was will diese Person signalisieren?,„Ich bin in Seenot. Ich benötige dringend Hilfe“,"„Kommen Sie nicht näher, Sie begeben sich in Gefahr“","„Stoppen Sie Ihre Fahrt, wir kommen an Bord“",„Ich ändere meinen Kurs nach Backbord“,A/image_188.png
189,Was bedeutet das Schallsignal eine Folge langer Töne?,Seenotsignal,Seerettungssignal,Warnung vor einer Gefahr,Dieses Signal ist nur für die Berufsschifffahrt von Bedeutung,
190,"Was bedeutet ein blickendes Licht, dreimal kurz, dreimal lang, dreimal kurz?",Seenotsignal,Seerettungssignal,Warnung vor einer Gefahr,Dieses Signal ist nur für die Berufsschifffahrt von Bedeutung,
191,Was bedeuten rote Leuchtkugeln auf einem österreichischen See?,Seenotsignal,Seerettungssignal,Warnung vor einer Gefahr,Dieses Signal ist nur für die Berufsschifffahrt von Bedeutung,
192,Wie kann man auf eine Notsituation an Bord aufmerksam machen?,Durch kreisförmiges Schwenken eines Lichtes,Durch auf- und abschwenken einer Flagge,Durch einen roten Ball,Durch auf- und abspringen an Deck,
193,Sie leihen sich ein Segelboot aus. Welche Verpflichtung haben Sie vor der Fahrt im Hinblick auf die Sicherheit?,Boot und Ausrüstung überprüfen,"Überprüfen, ob das Boot zugelassen ist",Überprüfung der Segelprüfnummer,"Überprüfen, ob das Boot versichert ist",
194,Welche Informationspflicht haben Sie in Hinblick auf Ihre Crew?,Der Schiffsführer muss sich über die Schwimmkenntnisse seiner Crew in Kenntnis setzen,Der Schiffsführer muss sich über die besonderen seemännischen Fähigkeiten seiner Crew inKenntnis setzen,Der Schiffsführer muss sich über das Alter seiner Crew in Kenntnis setzen,Keine besonderen.,
195,Ist das Anlegen von Rettungswesten in Österreich verpflichtend?,"Nein, es wird aber empfohlen","Nein, es besteht keine Rettungswestenpflicht","Ja, alle an Bord befindlichen Personen müssen Rettungswesten tragen","Nein, Rettungswesten dürfen nur in Notsituationen angelegt werden.",
196,Muss auf einer Segeljolle für jedes Crewmitglied eine Rettungsweste mitgeführt werden?,"Nein, es wird aber empfohlen","Ja, jedes Crewmitglied hat eine Rettungsweste zu tragen","Ja, aber Rettungswesten müssen nicht angelegt werden","Nein, es dürfen nur Schwimmwesten mitgeführt werden",
197,Wie müssen Rettungswesten beschaffen sein.?,"Ohnmachtsicher, ausgerüstet mit einer Pfeife",Sie muss mit einer mindestens 20 Meter langen Leine ausgerüstet sein,Sie muss orange gefärbt sein,Sie muss über ein Nachtrettungslicht verfügen,
