"Question Number","Question","Answer 1(correct one)","Answer 2","Answer 3","Answer 4","FB2/image_path"
"93","Kann aus einer Besteckversetzung ein Strom abgeleitet werden","Ja, Richtung der Besteckversetzung und Strom ist gleich, die Stromgeschwindigkeit muss allerdings auf eine Stunde umgerechnet werden","Ja, Distanz der Besteckversetzung und Stromgeschwindigkeit sind gleich, die Stromrichtung muss aber noch auf eine Stunde umgerechnet werden","Nein, ein Strom ist ausschließlich von der Batteriekapazität abhängig","Nein, aus einer Besteckversetzung kann man keine Aussage über einen eventuellen Strom machen",""
"94","Was wird mit dem graphischen Tidenkalender ermittelt","Mit dem graphischen Tidenkalender können Hoch- und Niedrigwasserhöhen ermittelt werden","Ein graphischer Tidenkalender stellt nur einen graphischen Verlauf der Tide dar. Es können daraus keine Werte ermittelt werden","Mit einem graphischen Tidenkalender können die Berichtungswerte der betreffenden Anschlussorte berechnet werden","Mit einem graphischen Tidenkalender können Mond- und Sonnenfinsternisse berechnet werden",""
"95","Um welche Werte werden Kurse nach dem Steuerkompass berichtigt","Unter anderem die Missweisung und die Ablenkung","Die Fahrt über Grund","Der Kurs über Grund","Die Fahrt durchs Wasser",""
"96","Was könnte eine Besteckversetzung verursachen","Ein nicht erkannter Strom","Ein alter nautischer Navigationszirkel","Ein defektes Echolot","Ein stumpfer Bleistift",""
"97","Was enthalten Funkverzeichnisse","Unter anderem Angaben über Küstenfunkstationen","Angaben über die unterschiedlichen Frequenzbereiche verschiedener Funkdienste (Seefunk, Flugfunk, etc.)","Angaben über bevorzugte Frequenzbereiche der Berufsschifffahrt in unterschiedlichen Seegebieten","Funkverzeichnisse können über Navtex empfangen werden und geben Auskunft, welche Funkstationen in Reichweite sind",""
"98","Mit welcher Berichtigung sollte der Handpeilkompass korrigiert werden","Mit der Missweisung","Mit der Ablenkung","Mit der Windabdrift","Mit der Stromabdrift",""
"99","Aus welchen Quellen können Sie Berichtigungen für Seekarten beziehen","Unter anderem aus den Nachrichten für Seefahrer","Unter anderem aus Funkmeldungen über UKW","Unter anderem aus Meldungen über NAVTEX","Unter anderem aus den Berichtigungshandbüchern der hydrographischen Institute",""
"100","Wie wird die Geschwindigkeit einer Jacht auf See angegeben","In Knoten (Seemeilen pro Stunde)","In Meter pro Sekunde","In Kilometer pro Stunde","In Seemeilen pro Tag",""
"101","Wie werden mit RADAR Entfernungen gemessen","Mittels Laufzeitmessung von hochfrequenten, elektromagnetischen Wellen","Mittels Laufzeitmessung von Ultraschallsignalen","Mittels Veränderung der Frequenz von elektromagnetischen Wellen auf Grund des Doppler-Effektes","Mittels Laufzeitmessung von Laserstrahlen",""
"102","Weshalb können die elektronisch angezeigten Werte der Fahrt durchs Wasser fehlerhaft sein","Durch Verschmutzung des Sensors können die Werte fehlerhaft sein","Die Werte können durch den Einfluss von Missweisung und Ablenkung fehlerhaft sein","Die elektronische Geschwindigkeitsmessung wird fortlaufend kompensiert und zeigt daher immer die korrekte Fahrt durchs Wasser an","Durch einen herrschenden Strom können die Werte fehlerhaft sein",""
"103","Was bedeutet die Abkürzung FdW in der Navigation","Fahrt durchs Wasser","Fahrt durch den Wind","Fahrt der Wirksamkeit","Fahrt des Wassers (Strom)",""
"104","Woher können Sie eine Ablenkungstabelle beziehen","Die Ablenkungstabelle sollte vor Antritt der Fahrt bzw etwa alle 6 Monate selbst erstellt werden","Die Ablenkungstabelle wird vom Hersteller mit den Schiffspapieren übergeben","Die Ablenkungstabelle ist Teil der Bedienungsanleitung des Schiffes","Die Ablenkungstabelle kann aus der Seekarte entnommen werden",""
"105","Um welchen Wert werden Peilungen mit dem Handpeilkompass berichtigt","Die Missweisung","Die Abdrift durch Strom","Die Ablenkung","Die Abdrift durch Wind",""
"106","Was ist eine Hundekurve","Eine lang gezogene Kurve, die gefahren wird, wenn bei einer Fahrt auf ein Ziel die Stromabdrift nicht berücksichtigt wird","Die Kursschwankungen, die durch Einwirkung des Seegangs entstehen","Eine Kurve, die gefahren wird, wenn man aufgrund der Erdkrümmung den kürzest möglichen Kurs steuert","Eine Kurve, die gesteuert wird, wenn man bei der Zielfahrt die Stromabdrift berücksichtigt",""
"107","Was beinhalten die Nachrichten für Seefahrer (NfS)","In den NfS werden wichtige Informationen für das deutsche Küstenmeer sowie für die angrenzenden Gebieten der Nachbarstaaten bekanntgegeben","Die NfS enthalten Nachrichten über Ankerplätze und Hafenpläne an deutschen Küsten","Die NfS enthalten Warnmeldungen über zeitlich begrenzte Gefahren für die Seefahrt weltweit","In den NfS werden wichtige Ereignisse, Änderungen und Maßnahmen weltweit bekanntgegeben",""
"108","Wie kann das Alter einer Gezeit ermittelt werden","Durch Beobachtung der Mondphasen. Springzeit zu Voll- und Neumond, Nippzeit zu Halbmond","Durch Beobachtung der Mondphasen. Springzeit zu Halbmond, Nippzeit zu Voll- und Neumond","Mit Bordmitteln gar nicht, da das Alter der Gezeit nur sehr schwer zu berechnen ist","Durch Berücksichtigung der Jahreszeit. Springzeit zu Sommer- und Winterbeginn, Nippzeit zu Tag- und Nachtgleichen",""
"109","Was bedeutet die Abkürzung ETE","Zu erwartende Fahrzeit","Zu erwartende Kursabweichung","Zu erwartende Ankunftszeit","Zu erwartende Stromabdrift",""
"110","Ist es zwingend erforderlich, dass der elektronische Kompass des Autopiloten korrekt kompensiert ist","Nein, da der Autopilot lediglich Kurs halten soll. Allerdings sollte man einen nicht kompensierten Autopiloten nicht zur Navigation verwenden","Nein, ein Autopilot verwendet einen elektronischen Kompass und hat damit keine Ablenkung","Nein, ein Autopilot erhält seine Kurse vom GPS und muss daher nicht kompensiert werden","Ja, ohne exakte Kompasseinstellung kann ein Autopilot nicht funktionieren",""
"111","Was sind marine sensible Zonen","Das sind Sondergebiete, in denen strengere Schutzvorschriften für das Einleiten von Öl bzw. Chemikalien sowie für das Absondern von Müll gelten","Das sind nationale Naturschutzgebiete","Alle Küstenbereiche weltweit bis zu einer Entfernung von 12 Seemeilen von der Küste","Alle Küstenbereiche weltweit bis zu einer Entfernung von 3 Seemeilen von der Küste",""
"112","Was regelt das Seeschifffahrtsgesetz in Österreich","Die Schifffahrt auf See für Fahrzeuge, die in Österreich zugelassen sind.","Die Schifffahrt auf See für Fahrzeuge auf denen der Schiffsführer Österreicher ist","Die Schifffahrt auf See auf Fahrzeugen, auf denen sich österreichische Staatsbürger befinden","Die Schifffahrt auf österreichischen Seen",""
"113","Können die Regeln der KVR durch nationale Bestimmungen außer Kraft gesetzt werden","Ja, in jedem Revier können die Regeln der KVR durch nationale Bestimmungen verändert, angepasst oder aufgehoben sein","Ja, bestimmte Regeln in der KVR haben nur in speziellen Schutzzonen Gültigkeit","Nein, alle Küstenstaaten haben sich verpflichtet, die KVR exakt umzusetzen","Nein, es gibt neben der KVR keine nationalen Bestimmungen",""
"114","Was ist für die Nationalität eines Seeschiffes maßgebend","Ort der amtlichen Registrierung","Geburtsland des Schiffsführers","Wohnort des Schiffsführers","Nationalität des Schiffseigners",""
"115","Was bedeutet tiefgangbehindert","Tiefgangbehinderte Fahrzeuge können den Ausweichregeln der KVR aufgrund ihres Tiefgangs nicht nachkommen","Tiefgangbehinderte Fahrzeuge können den Ausweichregeln der KVR aufgrund eines Deffektes nicht nachkommen","Tiefgangbehinderte Fahrzeuge können den Ausweichregeln der KVR aufgrund ihrer Tätigkeit nicht nachkommen","Tiefgangbehinderte Fahrzeuge können den Ausweichregeln der KVR aufgrund ihrer Länge nicht nachkommen",""
"116","Müssen auf der Ostsee neue Jachten mit einem Fäkalientank ausgestattet sein","Ja, an der Ostsee sind Jachten, die über eine Schiffstoilette verfügen, mit einem Fäkalientank auszustatten","Auch in allen anderen Gewässern sind Fäkalientanks für Jachten mit einer Schiffstoilette vorgeschrieben","Nein, Fäkalientanks sind für Jachten allgemein nicht verpflichtend","Nein, in der Ostsee gibt es keine solchen Bestimmungen",""
"117","Sie wollen ein Land über den Seeweg betreten. Was ist unter anderem zu tun","Unter anderem ist der nächst gelegene Zollhafen zur Durchführung derEinreiseformalitäten anzusteuern","Unter anderem muss die Anmeldung beim Zollhafen über Seefunk vorgenommen werden","Unter anderem ist die Jacht bei der Haftpflichtversicherung abzumelden","Über den Seeweg darf jedes Land ohne besondere Formalitäten betreten werden",""
"118","Was regelt die SOLAS","Internationale Regelungen zur Sicherheit des menschlichen Lebens auf See","Regelungen zur Kollisionsvermeidung auf See","Internationale Ausrüstungspflicht mit elektronischen Hilfsmitteln","Internationale Regelungen zur Abfallvermeidung auf See",""
"119","Wie entsorgen Sie Altöl auf See","In dichten Behältnissen sammeln und im Hafen an geeigneter Sammelstelle abgeben","In wasserdichten Behältern kann Altöl im Meer versenkt werden","Mit ausreichend Ölbindemittel mischen und über Bord werfen","Ab einem Abstand von 200 Seemeilen von der Küste entfernt darf Öl ins Meer eingebracht werden",""
"120","Wer ist für die Ordnung an Bord verantwortlich","Der Schiffsführer","Die gesamte Mannschaft","Für die Ordnung an Bord gibt es keine gesetzlichen Vorschriften","Das vom Schiffsführer dafür eingeteilte Crewmitglied",""
"121","In welcher Bestimmung ist festgehalten, mit welchen Seenotsignalen eine Jacht im Fahrbereich 2 ausgerüstet sein muss","In der Jachtzulassungsverordnung","Im Schifffahrtsgesetz","Im Pyrotechnikgesetz","In der Wasserstraßenverkehrsordnung",""
"122","Was ist das Hoheitsgebiet","Der Teil des Meeres, auf das eine Nation Anspruch erhebt, üblicherweise 12 Seemeilen von der Küste entfernt","Der Küstenbereich bis 5 Seemeilen eines Staates","Der nationale Küstenbereich eines Staates, üblicherweise bis 300 Meter von der Küste entfernt","Das Hoheitsgebiet eines Staates endet genau an der Küste",""
"123","Zu was berechtigt der Schiffsführerschein für den Fahrbereich 2","Zum Führen von Jachten weniger als 24 Meter Länge bis zu 20 Seemeilen außerhalb jeder Küste","Zum Führen von Jachten bis 10 Meter Länge bis zu 3 Seemeilen außerhalb jeder Küste","Zum Führen von Jachten weniger als 24 Meter Länge bis zu 200 Seemeilen außerhalb jeder Küste","Zum Führen von Jachten weniger als 24 Meter Länge weltweit ohne weitere Einschränkung",""
"124","Ist das Einbringen von Kunststoff ins Meer laut MARPOL gestattet","Nein, Kunststoff darf in keiner Entfernung zur Küste in Gewässer eingebracht werden","Ja, da Kunststoffe verrotten, dürfen sie überall ins Meer eingeleitet werden","Erst ab einem Abstand von 20 Seemeilen zur Küste (Fahrtbereich 3)","Erst ab einem Abstand von mindesten 12 Seemeilen zur Küste",""
"125","Sie sehen die abgebildete Beleuchtung. Um welche Fahrzeugart nach KVR handelt es sich dabei","Um ein fischendes Fahrzeug","Um ein manövrierbehindertes Fahrzeug","Um ein Segelfahrzeug","Um ein Maschinenfahrzeug mit mehr als 50 Meter Länge","FB2/image_125.png"
"126","Ist die KVR auf österreichischen Jachten mitzuführen","Ja, eine Ausgabe der KVR ist auf österreichischen Jachten mitzuführen","Ja, es ist allerdings auch eine Zusammenfassung ausreichend","Nein, da diese Bestimmungen ohnehin nicht überall Gültigkeit haben","Nein, da diese Regeln lediglich eine Empfehlung darstellen",""
"127","In welcher Bestimmung ist festgehalten, wie eine Jacht für die betreffenden Fahrbereiche ausgerüstet sein muss","In der Jachtzulassungsverordnung","In der Wasserstraßenverkehrsordnung","Im Schifffahrtsgesetz","Im Seeschifffahrtsgesetz",""
"128","Ist das Einbringen von Motoröl ins Meer laut Marpol gestattet","Nein, Motoröl darf nicht in Gewässer eingebracht werden","Ja, ab einer Entfernung von mindestens 20 Seemeilen","Ja, allerdings nur mit Geschirrspülmittel oder Ähnlichem vermengt","Ja, allerdings nur mit Ölbindemittel oder Ähnlichem vermengt",""
"129","Sie sehen die Abgebildete Beleuchtung. Um welche Fahrzeugart nach KVR handelt es sich dabei","Ein Maschinenfahrzeug mit einer Länge von über 50 Meter","Ein manövrierunfähiges Fahrzeug","Ein Segelfahrzeug mit über 50 Meter Länge","Ein schleppendes Fahrzeug","FB2/image_129.png"
"130","Müssen im Mittelmeer neue Jachten mit einem Fäkalientank ausgestattet sein","Ja, in marine sensiblen Zonen, wie zB dem Mittelmeer, müssen alle Schiffe, die mit einer Toilette ausgestattet sind, mit Fäkalientanks ausgerüstet sein","Die Ausrüstungspflicht mit Fäkalientanks ist Sache nationaler Gesetzgebung und unterscheidet sich daher von Staat zu Staat","Ja, alle Schiffe müssen mit mindestens zwei Fäkalientanks ausgerüstet sein","Nein, da Fäkalien biologisch abbaubar sind, sind Fäkalientanks nicht vorgeschrieben",""
"131","Welche Wolkenart ist hier abgebildet","Cirrostratus","Cumulus Nimbus","Alto Cumulus","Cumulus Stratus","FB2/image_131.png"
"132","Wie kann die Windgeschwindigkeit in Meter/Sekunde ungefähr in Knoten umgerechnet werden","Meter pro Sekunde multipliziert mit 2","Meter pro Sekunde dividiert durch 1,5","Meter pro Sekunde dividiert durch 2","Meter pro Sekunde multipliziert mit 0,5",""
"133","Mit welchem Wind rechnen Sie in der mittleren Adria, wenn Sie die abgebildete Wetterkarte sehen","Mit Bora","Mit Scirocco","Mit Maestral","Mit Lebic","FB2/image_133.png"
"134","Werden Wettermeldungen auch über UKW- Seefunk ausgesendet","Wettermeldungen werden auf bestimmten UKW-Kanälen zu bestimmten Zeitenausgesendet","Seitdem das System NavTex verwendet wird, werden keine Wettermeldungen mehr über UKW-Seefunk ausgesendet","Wettermeldungen werden einmal täglich auf dem Kanal 16 gesammelt ausgesendet","Wettermeldungen werden einmal täglich auf dem Kanal 70 gesammelt ausgesendet",""
"135","Was sind Fallwinde","Wird eine Luftmasse zum Überströmen eines Gebirges gezwungen, so treten in der Regel auf der Leeseite des Gebirges Fallwinde auf","Fallwinde entstehen bei starkem Niederschlag, wenn dabei Luftmassen scheinbar nach unten gedrückt werden","Fallwinde sind Winde, die entstehen, wenn kalte Luftmassen absinken (Thermik)","Fallwinde sind Winde, die an den Rändern warmer Luftmassen entstehen, wenn diese Luftmassen aufsteigen. Die Luft an den Rändern sinkt dabei scheinbar ab",""
"136","Welche Wetterbedingungen herrschen in den Rossbreiten","Stabiles Hochdruckgebiet, wenig bis gar keine Luftbewegung","Stabiles Tiefdruckgebiet, ständiger Niederschlag, wenig bis gar keine Luftbewegung","Stabiles Hochdruckgebiet, ständiger Ost- bis Nordostwind","Ausgleichszone zwischen Äquator und Passatzone. Ständiger Ost- bis Nordostwind",""
"137","Über welche Medien können Sie Grib files empfangen","Über das Internet","Über UKW-Funk","Über NavTex","Über AIS",""
"138","Wie heißt das Seegebiet Mittelmeer für Navtex Meldungen","NavAera 3","NavArea Mediteran","NavArea Gibraltar","NavArea 1",""
"139","Was bedeutet die Abkürzung MSI","Maritime Safety Information","Mobile Service Identification","Mobile Safety Identification","Maritime Satellite Information",""
"140","An welchem Wolkenbild kann unter anderem eine Bora erkannt werden","An der typischen Borawalze über dem Velebit","An den von Westen her aufziehenden Gewitterwolken","Bei Bora ist ein vollkommen klarer Himmel typisch","An den typischen hakenförmigen Cirruswolken in großer Höhe",""
"141","Wie hängt die Luftfeuchtigkeit mit der Lufttemperatur zusammen","Durch Erwärmen von Luftmassen können diese mehr Feuchtigkeit lösen, die relative Luftfeuchtigkeit sinkt","Durch Abkühlen von Luftmassen können diese weniger Feuchtigkeit lösen, die relative Luftfeuchtigkeit steigt","Durch Erwärmen von Luftmassen können diese mehr Feuchtigkeit lösen, die relative Luftfeuchtigkeit steigt","Durch Abkühlen von Luftmassen können diese weniger Feuchtigkeit lösen, die relative Luftfeuchtigkeit sinkt",""
"142","Ist die Richtung des Windes unmittelbar an der Erdoberfläche die selbe wie in 10 Meter Höhe","Nein, aufgrund der Reibung an der Erdoberfläche wird der Wind aufgrund der Corioliskraft stärker abgelenkt","Es gibt zwar einen Unterschied, dieser ist aber nicht messbar","Nein, die Windrichtung ist bis etwa 1000 Meter Höhe konstant","Nein, aufgrund der Reibung an der Erdoberfläche wird der Wind aufgrund der Corioliskraft schwächer abgelenkt",""
"143","Wie weht der Wind auf der Nordhalbkugel ins Tief hinein","Gegen den Uhrzeigersinn nahezu Isobarenparallel","Ungefähr im rechten Winkel zu den Isobaren","Das ist nicht vorhersehbar","Mit dem Uhrzeigersinn nahezu Isobarenparallel",""
"144","Wie hängt der Luftdruck mit der Temperatur zusammen","Warme Luft steigt auf, der Luftdruck fällt. Kalte Luft sinkt ab, der Luftdruck steigt","Der Luftdruck hängt nicht mit der Temperatur zusammen","Warme Luft wird von kalten Luftmassen nach unten gedrückt, es entsteht hoher Luftdruck","Kalte Luft wird von warmen Luftmassen nach oben gedrückt, es entsteht tiefer Luftdruck",""
"145","Sie sehen eine turmhohe, ambossförmige und dunkle Wolke. Was vermuten Sie","Es kann sich um eine Gewitterwolke handeln","Diese Wolkenerscheinung hat keine Bedeutung","Eine Warmfront kündigt sich an","Eine Okklusionsfront kündigt sich an",""
"146","Welche Faktoren beeinflussen die Wellenhöhe","Die Windstärke und der sogenannte Fetch","Die Wassertiefe und der sogenannte Fetch","Die Wassertiefe und der Tidenhub","Die Windstärke und die Windrichtung",""
"147","Was ist das Azorenhoch","Ein stabiles Hochdruckgebiet etwa über den Azoren, das hauptsächlich in den Sommermonaten Schönwetter in Mitteleuropa bewirkt","Ein stabiles Hochdruckgebiet etwa über den Azoren, das hauptsächlich in den Wintermonaten Schönwetter in Mitteleuropa bewirkt","Ein stabiles Hochdruckgebiet etwa über den Azoren, das hauptsächlich in den Wintermonaten Schlechtwetter in Mitteleuropa bewirkt","Ein stabiles Hochdruckgebiet etwa über den Azoren, das hauptsächlich in den Sommermonaten Schlechtwetter in Mitteleuropa bewirkt",""
"148","Wie hängt die Temperatur mit der Luftfeuchtigkeit zusammen","Warme Luft kann mehr Feuchtigkeit aufnehmen als kalte Luft","Kalte Luft kann mehr Feuchtigkeit aufnehmen als warme Luft","Feuchte Luft ist immer wärmer als trockene Luft","Die Luftfeuchtigkeit hängt nicht mit der Temperatur zusammen",""
"149","Zu welcher Jahreszeit ist mit einem Azorenhoch zu rechnen","Im Sommerhalbjahr","Im Winterhalbjahr","Lediglich um den Jahreswechsel, Dezember und Jänner","Lediglich im Hochsommer, Juli und August",""
"150","Was ist die typische Windrichtung bei Bora","Ost bis Nordost","Süd bis Südost","Süd bis Südwest","Nord bis Nordwest",""
"151","Was wird mit Dünung bezeichnet","Eine aus einem entfernten Windsystem langsam ablaufende Welle","Eine Welle, die auf flaches Wasser trifft","Eine den Windwellen entgegenstehende Welle","Eine aus einem lokalen nahen Windsystem entstandene Welle",""
"152","Welcher Wellenhöhe nach der Petersen-Skala entspricht leicht bewegte See","Leicht bewegte See entspricht der Stärke 3","Leicht bewegte See entspricht der Stärke 6","Leicht bewegte See entspricht der Stärke 10","Leicht bewegte See entspricht der Stärke 1",""
"153","Kann aus einer Wetterkarte die Windrichtung entnommen werden","Ja, da der Wind auf der Nordhalbkugel etwa Isobarenparallel nach rechts drehend aus dem Hoch hinaus und nach links drehend ins Tief hinein weht","Ja, da der Wind auf der Nordhalbkugel etwa Isobarenparallel nach links drehend aus dem Hoch hinaus und nach rechts drehend ins Tief hinein weht","Ja, da der Wind auf der Südhalbkugel etwa Isobarenparallel nach rechts drehend aus dem Hoch hinaus und nach links drehend ins Tief hinein weht","Nein, aus der Wetterkarte kann die Windrichtung nicht bestimmt werden",""
"154","In welche Richtung ziehen Tiefdruckgebiete in der Westwindzone in der Regel","Von etwa West nach etwa Ost","Von etwa Süd nach etwa Nord","Von etwa Ost nach etwa West","Von etwa Nord nach etwa Süd",""
"155","Was bedeuten kleine Abstände von Isobaren in Wetterkarten","Starkwind oder Sturmgefahr","Gefahr von Wärmegewittern","Der Isobarenabstand in einer Wetterkarte sagt nichts besonderes aus","Leichte Winde sind zu erwarten",""
"156","Was ist ein Trog","Eine spezielle Isobarenform in Tiefdruckgebieten, die auf starke Stürme schließen lässt","Eine spezielle Isobarenform in Hochdruckgebieten, die auf starke Stürme schließen lässt","Eine spezielle Isobarenform in Tiefdruckgebieten, die auf perfektes Segelwetter mit leichten Winden schließen lässt","Eine spezielle Isobarenform in Hochdruckgebieten, die auf perfektes Segelwetter mit leichten Winden schließen lässt",""
"157","Was ist der Gradient in der Meteorologie","Der Luftdruckunterschied innerhalb einer Distanz von 60 Seemeilen","Der Luftdruckunterschied auf einer Distanz von 200 Seemeilen","Der Luftdruckunterschied auf einer Distanz von einem Längengrad","Der Luftdruckunterschied zwischen einem Tiefdruckzentrum und einem Hochdruckzentrum",""
"158","Mit welcher Windrichtung rechnen Sie, wenn Sie auf einer Wetterkarte das abgebildete Symbol sehen","Mit Südostwind","Mit Nordwestwind","Mit Wind aus Richtung 255°","Mit Wind in Richtung 255°","FB2/image_158.png"
"159","Was passiert, wenn die Wassertiefe geringer wird als die halbe Wellenlänge","Aus einer vertikalen Auf- und Abbewegung des Wassers wird eine Orbitalbewegung des Wellenkammes, die Welle bricht","Nichts besonderes","Durch Überlagerung mehrerer Wellenkämme kann Kreuzsee entstehen","Durch die geringere Wassertiefe wird die Wellenlänge verkürzt",""
"160","Wie entsteht Seewind","Durch Sonneneinstrahlung erwärmt sich die Luft über dem Land schneller als über dem Wasser und steigt auf. Luft von der See strömt aufs Land nach","Durch Sonneneinstrahlung erwärmt sich die Luft über der See schneller als über dem Land und steigt auf. Luft von der See strömt aufs Land nach","Durch Sonneneinstrahlung erwärmt sich die Luft über dem Land schneller als über dem Wasser und steigt auf. Luft vom Land strömt auf die See nach","Durch Sonneneinstrahlung erwärmt sich die Luft über der See schneller als über dem Land und steigt auf. Luft vom Land strömt auf die See nach",""
"161","Welchen der abgebildeten Schutzhäfen würden Sie bei angegebener Windrichtung anlaufen","Hafen A","Hafen D","Hafen B","Hafen C","FB2/image_161.png"
"162","Wie weht der Wind auf der Nordhalbkugel aus dem Hoch heraus","Mit dem Uhrzeigersinn nach rechts","Gegen den Uhrzeigersinn nach links","Immer strahlenförmig vom Luftdruckmaximum nach außen","Nicht vorhersehbar",""
"163","Mit welchem Messinstrument wird die Luftfeuchtigkeit gemessen","Mit einem Hygrometer","Mit einem Thermometer","Mit einem Barometer","Mit einem Anemometer",""
"164","Welche Eigenschaften haben Luftmassen in einem Hochdruckgebiet","Sie sind kalt und trocken","Sie sind warm und feucht","Sie sind warm und trocken","Sie sind kalt und feucht",""
"165","Was ist eine Warmfront","Die Wettererscheinung in einem kontinentalen Tiefdruckgebiet an der vorderen Seite des Warmluftsektors in Zugrichtung des Tiefs gesehen","Die Wettererscheinung in einem kontinentalen Hochdruckdruckgebiet an der vorderen Seite des Warmluftsektors in Zugrichtung des Hochs gesehen","Die Wettererscheinung in einem kontinentalen Hochdruckdruckgebiet an der hinteren Seite des Warmluftsektors in Zugrichtung des Hochs gesehen","Die Wettererscheinung in einem kontinentalen Tiefdruckgebiet an der hinteren Seite des Kaltluftsektors in Zugrichtung des Tiefs gesehen",""
"166","In welchen Sprachen werden NavTex Meldungen ausgesendet","Auf der Frequenz 518 kHz in Englisch","Auf der Frequenz 480 kHz in Englisch","Auf der Frequenz 518 kHz in Landessprache","Auf allen NavTex Frequenzen in Englisch",""
"167","Können Gezeitenströmungen den Seegang beeinflussen","Gezeitenströmungen können den Seegang sowohl abschwächen als auch verstärken","Gezeitenströmungen verstärken immer den Seegang","Gezeitenströmungen schwächen den Seegang immer ab","Gezeitenströmungen haben keinen Einfluss auf den Seegang",""
"168","Woher können Sie Wetterberichte beziehen","Aus dem Internet, Rundfunk, Tageszeitungen","Von Polizeidienststellen","Mithilfe von AIS","Wetterberichte können auch von Sonderdiensten des GPS (Differnzielles GPS) empfangen werden",""
"169","Werden Wettermeldungen auch über Satellit ausgesendet","Im Zuge des Maritime Safety Information (MSI) Systems werden Wettermeldungen über INMARSAT-Satelliten ausgesendet","Seewetterberichte werden nicht über Satellit ausgestrahlt","Seewetterberichte werden auch über Fernsehsatelliten übertragen und können von geeigneten Empfangsanlagen empfangen werden","Wettermeldungen werden über Satelliten der Firma Iridium standardmäßig ausgesendet und können von Satellitenhandys empfangen werden",""
"170","Der Luftdruck fällt mit mehr als 1 hPa pro Stunde. Was könnte das bedeuten","Es besteht Sturmgefahr","Das ist ein normaler Luftdruckverlauf unter Tags","Es klart nach längerem Schlechtwetter auf","Der bestehende starke Wind flaut langsam ab",""
"171","Mit welcher Abkürzung werden in britischen Wetterkarten Tiefdruckgebiete bezeichnet","Mit dem lateinischen Buchstaben L","Mit dem lateinischen Buchstaben C","Mit dem lateinischen Buchstaben H","Mit dem griechischen Buchstaben Omega",""
"172","Was ist Grundsee","Als Grundsee werden Wasserwellen bezeichnet, die im flacheren Wasser steiler und damit höher werden, ehe sie zum Brecher werden","Als Grundsee werden Wellen bezeichnet, die nur in Grundnähe bestehen","Als Grundsee werden Wellen bezeichnet, deren Auswirkungen bis zum Grund reichen","Als Grundsee werden Wellen bezeichnet, deren Höhe größer ist als die Wassertiefe",""
"173","Was ist ein Landwind","Wind, der vom Land her weht","Wind, der aufs Land weht","Wind, der aufgrund eines Kap- oder Düseneffektes aufs Land gelenkt wird","Wind, der aufgrund eines über dem Land stehenden Tiefs entsteht",""
"174","Wie wird die Windrichtung in Wetterberichten angegeben","Aus der Himmelsrichtung, aus der der Wind kommt","In die Himmelsrichtung, in die der Wind weht","In Zugrichtung der Wolken","Nach der Rotation des Windes, rechtsdrehend oder linksdrehend",""
"175","Welche Wettererscheinung tritt beim Durchzug einer Warmfront auf","Zu Beginn Cirruswolken in größer Höhe. Die Bewölkung nimmt langsam zu und wird immer tiefer. Schließlich ausgedehnte Regenfälle","Plötzlich auftretende Gewitterwolken über den gesamten Horizont verteilt. Starke, böige Winde, plötzliche starke Niederschläge","Eine dichte Wolkenfront aus etwa westlicher Richtung aufziehend. Starker Luftdruckabfall. Starker Niederschlag","Lufttemperatur sinkt schlagartig ab, ausgedehnte Bewölkung aus östlicher Richtung. Schließlich ausgedehnte Niederschläge",""
"176","Welche Windrichtung folgt in der Adria typischerweise nach Scirocco","Nach einem Scirocco folgt üblicherweise Bora, Ost bis Nordost","Nach einem Scirocco folgt üblicherweise Maestral, Nord bis Nordwest","Nach einem Scirocco folgt üblicherweise Bora, Nord bis Nordwest","Nach einem Scirocco folgt üblicherweise Maestral, West bis Südwest",""
"177","Was bewirkt der Düseneffekt","Durch eine Verengung, etwa aufgrund zweier Kaps, wird die Windrichtung und Windstärke verändert","Durch eine Verengung, etwa aufgrund zweier Kaps, wird die Windstärke verändert. Die Windrichtung bleibt nahezu unverändert","Durch eine Verengung, etwa aufgrund zweier Kaps, wird die Windrichtung verändert. Die Windstärke bleibt nahezu unverändert","Durch eine Verengung, etwa aufgrund zweier Kaps, wird der Luftdruck verändert. Die Windstärke und Windrichtung bleiben nahezu unverändert",""
"178","Ab welcher Windgeschwindigkeit wird üblicherweise eine Sturmwarnung ausgeben","Üblicherweise ab 30 Knoten","Üblicherweise ab 50 Knoten","Üblicherweise ab 20 Knoten","Üblicherweise ab 10 Beaufort",""
"179","Welche Eigenschaft hat in der Regel ein Hochdruckgebiet","Kalte, trockene Luftmassen, der Luftdruck steigt an","Warme, trockene Luftmassen, der Luftdruck steigt an","Warme, feuchte Luftmassen, der Luftdruck steigt an","Kalte, feuchte Luftmassen, der Luftdruck steigt an",""
"180","Welche Parameter beeinflussen die Entstehung von Nebel","Luftfeuchtigkeit und Lufttemperatur","Luftdruck und Luftfeuchtigkeit","Luftdruck und Windgeschwindigkeit","Luftdruck und Lufttemperatur",""
